Edad,Genero,Frecuencia_compra,Compra_por_recomendacion,Frecuencia_navegacion,Metodo_busqueda,Exploracion,Imp_reseñas,Carrito,Frecuencia_carrito,Factores_abandono,Frecuencia_guardar,Reseña,Confianza_reseñas,Utilidad_reseñas,Frecuencia_recomendaciones,Utilidad_recomendaciones,Precision_recomendaciones,Satisfaccion,Valor,Mejoras,Belleza_y_cuidado_personal,Ropa_y_moda,Alimentación_y_productos_gourmet,Hogar_y_cocina,Otros
23,2,4,0,2,2,1,5,2,5,1,4,1,3,2,2,2,3,3,2,11,1,0,0,0,0
25,2,0,1,1,0,1,5,2,1,0,4,1,3,2,3,2,3,3,2,2,0,1,1,0,0
23,0,1,0,3,2,1,1,2,4,1,3,0,3,1,1,2,3,2,3,13,1,0,0,0,0
32,1,1,2,1,2,0,4,2,4,0,3,0,1,2,3,2,4,4,3,2,0,1,0,1,0
30,2,0,1,1,0,1,5,1,3,3,0,1,0,1,4,2,5,3,0,9,1,1,0,0,0
28,2,0,0,0,1,1,3,0,2,2,1,1,3,0,3,0,4,3,0,13,1,1,1,1,1
20,0,2,0,2,2,0,1,0,2,1,2,0,3,2,2,0,3,3,0,11,1,1,0,0,0
25,1,0,0,3,3,1,1,2,5,0,1,0,1,2,1,2,2,3,4,9,0,0,0,0,1
55,2,0,1,2,1,1,3,1,5,2,2,1,4,1,3,1,3,3,2,2,0,0,1,0,0
24,0,3,0,1,1,1,2,1,4,2,0,1,1,1,3,2,3,4,4,9,1,0,0,1,1
62,0,1,2,3,0,1,3,2,5,1,2,0,2,2,4,1,4,3,3,13,1,0,0,0,0
27,1,1,0,3,3,0,4,0,2,3,1,0,2,0,4,0,5,5,0,2,0,0,0,0,1
34,2,0,2,0,2,0,3,2,5,1,3,0,3,0,3,1,2,2,4,9,1,1,0,0,0
40,0,4,2,1,2,1,2,2,3,1,2,1,3,2,1,0,2,2,0,13,1,1,0,1,0
22,2,1,1,0,2,1,4,2,3,1,3,1,4,0,2,0,3,4,3,11,0,0,0,0,1
34,2,0,0,0,2,0,3,1,3,1,2,1,0,1,0,2,2,2,3,9,0,1,0,1,0
24,0,1,0,1,1,1,1,1,5,1,1,0,0,1,0,2,3,1,3,9,1,0,0,1,0
44,1,0,0,0,2,0,5,0,2,0,4,0,2,2,1,1,3,2,2,2,0,1,0,0,1
31,0,3,2,3,3,1,4,0,2,0,2,1,2,2,4,0,4,2,3,11,0,0,0,1,1
23,0,4,2,1,2,1,5,0,2,3,4,0,3,2,2,1,3,3,2,9,0,1,0,0,0
23,0,1,2,0,1,1,1,1,5,0,3,0,0,1,1,1,2,1,4,11,1,0,0,0,1
22,0,1,0,1,1,1,5,1,5,1,1,0,0,1,4,2,2,3,0,2,0,1,0,1,0
24,0,4,2,1,1,1,1,1,3,1,0,1,0,1,0,1,1,1,4,2,1,1,0,1,0
23,2,4,1,2,1,1,1,1,3,1,0,1,0,1,0,1,1,1,4,2,1,1,0,1,0
25,1,1,1,0,1,1,5,1,4,3,1,0,1,1,2,2,3,3,4,2,0,0,0,0,1
23,1,4,2,1,0,1,1,0,2,0,4,1,1,0,0,0,2,2,0,2,0,1,0,0,0
24,1,3,2,1,1,1,1,1,3,3,4,1,1,1,1,1,2,2,0,9,1,1,1,1,0
24,0,0,1,1,1,1,1,1,3,0,4,0,1,1,1,1,3,2,4,2,0,0,0,0,1
26,0,1,0,0,1,1,1,1,5,2,2,1,1,1,0,1,2,1,2,13,0,0,0,0,1
25,0,1,2,3,2,0,5,1,5,0,4,1,1,1,3,2,4,3,4,13,0,1,0,0,0
26,1,0,0,1,1,1,4,1,5,1,1,0,3,2,2,0,3,3,2,11,0,1,0,0,1
29,1,1,0,3,1,0,4,0,2,1,3,0,1,1,2,2,4,4,4,9,0,0,0,0,1
23,0,3,1,0,1,1,2,1,3,2,2,1,1,1,1,1,3,4,0,11,1,1,0,1,0
30,1,2,1,1,1,1,3,1,5,1,4,1,1,1,0,1,1,2,0,2,0,1,0,1,0
23,0,1,0,2,2,1,1,1,5,1,2,0,0,1,2,2,3,3,4,2,1,0,0,1,0
21,0,1,0,3,1,1,1,1,1,2,1,0,0,1,3,2,3,3,4,11,0,1,0,0,0
23,0,3,0,1,2,1,1,1,5,0,2,1,1,0,2,1,2,2,2,9,1,0,0,1,0
21,0,3,2,1,2,1,3,1,0,0,2,0,1,2,2,2,3,3,3,2,0,1,0,0,0
23,0,1,0,0,1,1,2,1,3,0,3,0,1,1,1,2,2,1,4,13,0,1,0,0,1
27,1,3,2,0,1,1,3,1,5,0,2,1,1,1,2,2,3,1,4,9,0,0,0,0,1
38,0,3,0,0,1,1,2,1,3,0,1,1,1,2,3,2,4,2,4,9,1,0,0,1,0
23,0,1,0,3,1,0,1,1,5,1,1,0,0,1,2,0,2,2,3,9,1,1,0,0,0
38,0,1,0,0,2,0,3,0,2,1,3,0,1,0,3,0,4,2,2,13,1,1,0,1,0
23,1,0,0,1,2,1,3,0,2,1,4,1,0,2,1,1,3,3,0,11,0,0,0,0,1
24,1,4,0,1,2,0,2,0,2,1,2,1,3,0,2,0,3,2,2,2,0,1,0,0,1
25,0,4,1,1,0,0,2,0,2,1,4,1,0,0,1,1,3,2,2,2,1,1,1,1,0
26,1,1,1,1,1,1,1,1,3,1,4,0,0,1,0,1,2,1,4,2,1,1,1,1,1
27,1,4,0,0,0,0,3,0,2,1,4,1,3,0,2,0,3,2,0,9,1,1,0,1,1
29,2,4,1,1,2,1,1,0,2,1,4,1,3,0,2,0,2,1,0,2,1,0,0,0,0
35,2,0,0,0,0,1,3,0,2,1,4,0,2,0,3,0,3,2,0,11,1,1,0,1,0
21,0,3,1,1,1,1,1,1,5,0,4,0,0,1,0,2,3,1,0,9,1,1,0,0,0
36,1,0,0,0,2,0,4,2,5,0,2,1,3,0,1,1,2,3,2,2,1,0,0,1,0
44,0,0,0,2,0,0,2,0,2,2,4,0,3,0,1,0,2,2,0,2,1,0,0,0,0
32,0,4,1,2,1,1,1,1,3,1,0,1,0,1,0,1,1,1,3,2,1,1,1,1,1
30,1,0,0,0,0,1,3,1,0,2,2,1,1,1,3,0,3,2,0,9,1,0,1,1,0
36,2,1,2,3,3,0,5,2,1,3,1,0,2,2,4,2,5,5,3,13,0,0,0,0,1
25,1,1,0,3,1,1,1,1,5,0,0,0,0,1,0,1,1,1,4,2,1,1,1,1,1
20,0,2,1,2,1,1,1,1,0,2,0,1,0,1,3,1,1,1,4,9,1,1,1,1,0
35,0,4,0,0,2,0,3,0,2,0,4,0,3,0,1,2,4,3,2,9,1,0,0,0,0
42,1,1,1,0,1,1,1,1,3,1,0,1,0,1,0,1,1,1,4,9,0,0,1,1,1
37,0,0,0,0,2,1,2,0,2,1,2,0,1,0,1,0,1,1,2,11,1,1,1,1,0
28,0,2,1,2,1,1,1,1,3,0,0,1,0,1,2,2,2,1,4,2,1,1,0,0,1
27,1,4,0,1,2,0,2,0,2,0,2,0,0,2,2,0,2,2,0,2,1,0,0,1,0
45,0,4,0,2,2,1,2,0,2,0,2,0,1,0,1,0,2,2,0,9,1,1,1,1,0
35,1,1,1,3,1,0,1,1,4,2,0,1,0,1,0,1,1,1,0,13,0,1,1,1,1
50,0,2,0,1,0,0,3,1,3,0,3,1,1,0,1,0,3,2,0,11,1,1,0,1,0
54,0,0,0,1,1,0,3,0,2,0,4,0,1,1,1,0,3,2,0,11,1,0,0,0,1
29,0,2,1,2,1,1,1,1,5,0,0,1,0,1,0,2,1,1,0,9,1,1,1,1,1
63,1,1,0,3,1,1,1,1,5,1,4,0,0,1,1,2,3,2,0,2,0,0,1,1,1
24,1,0,2,1,1,1,1,1,5,1,4,0,0,2,1,2,2,1,0,9,1,1,0,0,0
23,0,1,0,3,1,1,1,1,4,2,2,1,0,1,0,1,1,1,4,13,1,0,0,0,0
26,0,0,1,1,2,1,1,1,0,2,0,1,3,1,4,1,1,1,4,9,1,1,0,0,0
29,1,2,0,2,0,1,5,1,5,1,0,0,4,1,2,1,1,1,0,13,1,1,0,0,0
46,2,0,0,0,1,1,2,0,2,1,4,0,1,0,1,1,3,2,0,11,1,1,0,0,0
24,1,1,0,0,1,1,4,1,5,1,4,0,3,1,2,1,4,5,4,6,0,0,0,0,1
